Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
6/10/2009;44.360.001;45.00;44.07;44.91;0.025
7/10/2009;44.599.998;45.82;44.459.999;45.700.001;0.0174
8/10/2009;46.040.001;46.439.999;45.049.999;45.299.999;-0.0088
9/10/2009;45.459.999;45.939.999;45.080.002;45.849.998;0.0121
12/10/2009;46.369.999;46.419.998;45.349.998;46.080.002;0.005
13/10/2009;45.650.002;46.029.999;44.529.999;45.66;-0.0092
14/10/2009;47.189.999;47.470.001;46.630.001;47.16;0.0323
15/10/2009;46.360.001;47.32;46.360.001;47.16;0
16/10/2009;46.700.001;46.880.001;46.00;46.060.001;-0.0236
19/10/2009;46.419.998;46.43;45.450.001;45.98;-0.0017
20/10/2009;45.810.001;46.59;45.77;46.029.999;0.0011
21/10/2009;46.02;46.419.998;44.650.002;44.650.002;-0.0304
22/10/2009;44.919.998;45.869.999;44.830.002;45.709.999;0.0235
23/10/2009;45.700.001;46.200.001;44.959.999;45.23;-0.0106
26/10/2009;45.119.999;45.209.999;43.549.999;43.82;-0.0317
27/10/2009;43.990.002;44.66;43.669.998;43.900.002;0.0018
28/10/2009;43.73;43.810.001;42.50;42.68;-0.0282
29/10/2009;43.220.001;44.400.002;42.759.998;44.349.998;0.0384
30/10/2009;43.950.001;43.970.001;41.73;41.77;-0.0599
2/11/2009;42.18;42.849.998;41.52;42.580.002;0.0192
3/11/2009;42.09;42.959.999;41.98;42.700.001;0.0028
4/11/2009;43.209.999;43.689.999;42.119.999;42.209.999;-0.0115
5/11/2009;42.599.998;43.93;42.400.002;43.869.999;0.0386
6/11/2009;43.139.999;43.689.999;42.91;43.48;-0.0089
9/11/2009;43.93;44.389.999;43.299.999;44.349.998;0.0198
10/11/2009;44.139.999;44.32;43.549.999;44.169.998;-0.0041
11/11/2009;44.34;44.990.002;43.779.999;44.32;0.0034
12/11/2009;44.080.002;44.650.002;43.00;43.299.999;-0.0233
13/11/2009;43.16;43.290.001;42.360.001;42.900.002;-0.0093
16/11/2009;43.25;43.610.001;42.759.998;43.040.001;0.0033
17/11/2009;42.919.998;43.189.999;42.540.001;43.16;0.0028
18/11/2009;43.139.999;43.50;42.939.999;43.380.001;0.0051
19/11/2009;43.099.998;43.18;42.259.998;42.549.999;-0.0193
20/11/2009;42.470.001;42.740.002;42.150.002;42.459.999;-0.0021
23/11/2009;42.950.001;43.639.999;42.700.001;43.279.999;0.0191
24/11/2009;43.259.998;43.279.999;42.240.002;42.48;-0.0187
25/11/2009;42.669.998;42.669.998;41.939.999;42.16;-0.0076
27/11/2009;40.98;41.900.002;40.75;41.330.002;-0.0199
30/11/2009;41.560.001;42.650.002;41.490.002;42.490.002;0.0277
1/12/2009;42.610.001;42.709.999;41.619.999;42.220.001;-0.0064
2/12/2009;42.150.002;42.150.002;41.470.001;41.93;-0.0069
3/12/2009;42.299.999;43.09;41.310.001;41.400.002;-0.0127
4/12/2009;42.25;42.509.998;41.220.001;41.740.002;0.0082
7/12/2009;41.630.001;41.959.999;41.060.001;41.25;-0.0118
8/12/2009;41.009.998;41.400.002;40.630.001;41.209.999;-0.001
9/12/2009;41.25;41.509.998;40.599.998;41.189.999;-0.0005
10/12/2009;41.360.001;41.560.001;40.66;41.27;0.0019
11/12/2009;40.990.002;41.25;40.75;40.959.999;-0.0075
14/12/2009;41.009.998;41.93;40.700.001;41.77;0.0196
15/12/2009;41.50;41.700.001;40.619.999;40.860.001;-0.022
16/12/2009;41.169.998;41.700.001;40.880.001;41.360.001;0.0122
17/12/2009;41.060.001;41.119.999;40.189.999;40.27;-0.0267
18/12/2009;40.529.999;41.189.999;40.040.001;40.950.001;0.0167
21/12/2009;41.549.999;42.240.002;41.50;41.900.002;0.0229
22/12/2009;42.00;42.099.998;41.689.999;41.939.999;0.001
23/12/2009;41.84;41.939.999;41.450.001;41.560.001;-0.0091
24/12/2009;41.68;41.889.999;41.509.998;41.889.999;0.0079
28/12/2009;41.849.998;42.130.001;41.560.001;41.720.001;-0.0041
29/12/2009;41.73;41.799.999;41.459.999;41.490.002;-0.0055
