Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
28/2/2012;39.130.001;39.549.999;38.849.998;39.209.999;0.0038
29/2/2012;39.330.002;39.939.999;39.02;39.240.002;0.0008
1/3/2012;39.509.998;40.450.001;39.470.001;40.369.999;0.0284
2/3/2012;40.43;40.880.001;40.23;40.630.001;0.0064
5/3/2012;40.700.001;40.709.999;40.00;40.400.002;-0.0057
6/3/2012;39.450.001;39.869.999;39.119.999;39.32;-0.0271
7/3/2012;39.459.999;40.060.001;39.380.001;39.950.001;0.0159
8/3/2012;40.470.001;40.75;40.220.001;40.439.999;0.0122
9/3/2012;40.75;41.439.999;40.50;41.029.999;0.0145
12/3/2012;40.860.001;40.98;40.200.001;40.540.001;-0.012
13/3/2012;41.02;43.73;40.82;43.389.999;0.0679
14/3/2012;43.619.999;44.00;43.07;43.580.002;0.0044
15/3/2012;43.639.999;44.919.998;42.93;44.700.001;0.0254
16/3/2012;44.869.999;44.919.998;44.220.001;44.57;-0.0029
19/3/2012;44.439.999;45.349.998;44.209.999;45.00;0.0096
20/3/2012;44.529.999;45.599.998;44.369.999;45.380.001;0.0084
21/3/2012;45.529.999;45.669.998;44.860.001;45.119.999;-0.0057
22/3/2012;44.720.001;45.099.998;44.41;44.650.002;-0.0105
23/3/2012;44.450.001;45.25;44.439.999;45.16;0.0114
26/3/2012;45.48;46.169.998;45.400.002;46.169.998;0.0221
27/3/2012;45.919.998;46.490.002;45.830.002;45.889.999;-0.0061
28/3/2012;45.759.998;46.310.001;45.360.001;46.27;0.0082
29/3/2012;45.919.998;46.02;45.27;45.669.998;-0.0131
30/3/2012;46.080.002;46.130.001;45.50;45.98;0.0068
2/4/2012;45.75;46.349.998;45.459.999;46.130.001;0.0033
3/4/2012;45.740.002;45.990.002;44.970.001;45.419.998;-0.0155
4/4/2012;44.68;44.860.001;43.959.999;44.41;-0.0225
5/4/2012;44.130.001;44.73;43.810.001;44.34;-0.0016
9/4/2012;43.189.999;44.279.999;43.07;43.889.999;-0.0102
10/4/2012;43.880.001;44.009.998;42.66;42.959.999;-0.0214
11/4/2012;43.59;44.209.999;43.57;44.009.998;0.0241
12/4/2012;44.119.999;44.990.002;44.00;44.84;0.0187
13/4/2012;44.950.001;44.950.001;43.060.001;43.209.999;-0.037
16/4/2012;43.380.001;43.799.999;42.84;43.330.002;0.0028
17/4/2012;43.689.999;44.00;43.16;43.900.002;0.0131
18/4/2012;43.619.999;43.91;43.27;43.290.001;-0.014
19/4/2012;43.439.999;43.689.999;42.77;43.220.001;-0.0016
20/4/2012;43.509.998;43.580.002;42.709.999;42.720.001;-0.0116
23/4/2012;41.919.998;42.959.999;41.799.999;42.849.998;0.003
24/4/2012;42.98;43.310.001;42.810.001;43.279.999;0.01
25/4/2012;43.650.002;43.889.999;42.98;43.16;-0.0028
26/4/2012;43.220.001;43.889.999;43.060.001;43.799.999;0.0147
27/4/2012;43.939.999;43.990.002;43.23;43.34;-0.0106
30/4/2012;43.330.002;43.369.999;42.540.001;42.98;-0.0083
1/5/2012;43.00;44.240.002;42.959.999;43.790.001;0.0187
2/5/2012;43.459.999;43.529.999;42.84;43.200.001;-0.0136
3/5/2012;43.380.001;43.389.999;42.669.998;43.009.998;-0.0044
4/5/2012;42.330.002;42.68;41.709.999;41.75;-0.0297
7/5/2012;41.43;42.400.002;41.369.999;41.779.999;0.0007
8/5/2012;41.50;41.84;40.950.001;41.380.001;-0.0096
9/5/2012;40.720.001;41.02;40.119.999;40.639.999;-0.018
10/5/2012;41.23;41.400.002;40.540.001;40.740.002;0.0025
11/5/2012;37.139.999;37.990.002;36.619.999;36.959.999;-0.0974
14/5/2012;36.099.998;36.470.001;35.759.998;35.790.001;-0.0322
15/5/2012;36.189.999;37.27;36.119.999;36.240.002;0.0125
16/5/2012;36.790.001;36.98;35.459.999;35.459.999;-0.0218
17/5/2012;35.040.001;35.099.998;33.880.001;33.93;-0.0441
18/5/2012;33.990.002;33.990.002;32.970.001;33.490.002;-0.0131
21/5/2012;33.52;33.709.999;32.259.998;32.509.998;-0.0297
22/5/2012;33.32;34.580.002;32.990.002;34.009.998;0.0451
23/5/2012;33.619.999;34.419.998;33.209.999;34.259.998;0.0073
24/5/2012;34.439.999;34.48;33.619.999;33.970.001;-0.0085
25/5/2012;34.00;34.130.001;33.290.001;33.50;-0.0139
29/5/2012;33.98;34.00;33.360.001;33.630.001;0.0039
30/5/2012;33.299.999;33.439.999;32.950.001;32.959.999;-0.0201
31/5/2012;32.959.999;33.470.001;32.91;33.150.002;0.0057
1/6/2012;32.41;32.650.002;31.77;31.93;-0.0375
4/6/2012;32.16;32.169.998;30.83;31.00;-0.0296
5/6/2012;30.889.999;32.130.001;30.860.001;31.99;0.0314
6/6/2012;32.709.999;33.310.001;32.27;33.07;0.0332
7/6/2012;33.77;33.830.002;32.799.999;32.810.001;-0.0079
8/6/2012;32.77;33.68;32.549.999;33.68;0.0262
11/6/2012;34.369.999;34.439.999;32.779.999;32.82;-0.0259
12/6/2012;32.880.001;33.779.999;32.509.998;33.77;0.0285
13/6/2012;33.689.999;35.07;33.630.001;34.299.999;0.0156
14/6/2012;34.41;34.889.999;34.07;34.650.002;0.0102
15/6/2012;34.889.999;35.07;34.41;35.029.999;0.0109
18/6/2012;34.709.999;35.299.999;34.50;34.619.999;-0.0118
19/6/2012;34.990.002;35.630.001;34.73;35.380.001;0.0217
20/6/2012;36.029.999;36.939.999;35.830.002;36.450.001;0.0298
21/6/2012;36.490.002;37.029.999;35.43;35.509.998;-0.0261
22/6/2012;36.02;36.490.002;35.959.999;35.990.002;0.0134
25/6/2012;35.259.998;35.470.001;34.639.999;35.32;-0.0188
26/6/2012;36.060.001;36.119.999;35.580.002;35.709.999;0.011
27/6/2012;35.639.999;36.82;35.50;36.779.999;0.0295
28/6/2012;35.32;35.93;34.849.998;35.880.001;-0.0248
29/6/2012;36.700.001;36.799.999;35.25;35.73;-0.0042
2/7/2012;36.27;36.360.001;35.59;36.279.999;0.0153
3/7/2012;35.959.999;36.139.999;35.540.001;35.880.001;-0.0111
5/7/2012;35.610.001;35.66;34.220.001;34.380.001;-0.0427
6/7/2012;33.919.998;34.119.999;33.73;33.900.002;-0.0141
9/7/2012;33.810.001;34.119.999;33.540.001;33.959.999;0.0018
10/7/2012;34.220.001;34.450.001;33.810.001;34.25;0.0085
11/7/2012;34.209.999;34.799.999;34.119.999;34.59;0.0099
12/7/2012;34.330.002;34.57;33.939.999;34.040.001;-0.016
13/7/2012;35.060.001;36.200.001;34.860.001;36.07;0.0579
16/7/2012;35.759.998;35.849.998;34.73;35.09;-0.0275
17/7/2012;35.439.999;35.48;34.27;34.990.002;-0.0029
18/7/2012;34.75;35.23;34.650.002;34.959.999;-0.0009
19/7/2012;35.02;35.169.998;34.310.001;34.459.999;-0.0144
20/7/2012;34.049.999;34.130.001;33.900.002;33.900.002;-0.0164
23/7/2012;33.240.002;34.50;33.099.998;34.439.999;0.0158
24/7/2012;34.580.002;34.889.999;34.220.001;34.73;0.0084
25/7/2012;34.98;35.450.001;34.790.001;35.169.998;0.0126
26/7/2012;35.779.999;35.939.999;35.34;35.810.001;0.018
27/7/2012;36.009.998;37.200.001;35.509.998;36.889.999;0.0297
30/7/2012;36.50;36.52;35.939.999;36.139.999;-0.0205
31/7/2012;36.110.001;36.330.002;35.91;36.00;-0.0039
1/8/2012;36.189.999;36.400.002;35.82;36.00;0
2/8/2012;35.619.999;35.84;34.759.998;35.169.998;-0.0233
3/8/2012;35.82;36.290.001;35.50;36.09;0.0258
6/8/2012;36.240.002;36.799.999;36.110.001;36.299.999;0.0058
7/8/2012;36.57;37.869.999;36.57;37.009.998;0.0194
8/8/2012;36.849.998;37.48;36.75;37.16;0.004
9/8/2012;36.720.001;37.259.998;36.59;36.919.998;-0.0065
10/8/2012;36.759.998;37.00;36.400.002;36.970.001;0.0014
13/8/2012;36.869.999;37.09;36.650.002;36.990.002;0.0005
14/8/2012;37.419.998;37.639.999;36.98;37.099.998;0.003
15/8/2012;37.07;37.41;36.950.001;37.07;-0.0008
16/8/2012;37.18;37.349.998;36.799.999;37.099.998;0.0008
17/8/2012;37.200.001;37.200.001;36.799.999;36.98;-0.0032
20/8/2012;36.919.998;37.50;36.799.999;37.369.999;0.0105
21/8/2012;37.630.001;38.860.001;37.560.001;38.040.001;0.0178
22/8/2012;37.880.001;38.18;37.560.001;37.830.002;-0.0055
23/8/2012;37.810.001;37.889.999;37.200.001;37.23;-0.016
24/8/2012;36.939.999;37.439.999;36.669.998;37.169.998;-0.0016
27/8/2012;37.310.001;37.439.999;36.900.002;37.23;0.0016
28/8/2012;37.099.998;37.490.002;36.900.002;37.130.001;-0.0027
29/8/2012;37.32;37.490.002;37.060.001;37.299.999;0.0046
30/8/2012;37.060.001;37.130.001;36.709.999;36.900.002;-0.0108
31/8/2012;37.139.999;37.400.002;36.860.001;37.139.999;0.0065
4/9/2012;36.98;37.240.002;36.779.999;37.009.998;-0.0035
5/9/2012;37.080.002;37.290.001;36.939.999;37.110.001;0.0027
6/9/2012;37.580.002;38.869.999;37.50;38.689.999;0.0417
7/9/2012;39.040.001;39.529.999;39.00;39.299.999;0.0156
10/9/2012;39.23;39.779.999;38.73;38.759.998;-0.0138
11/9/2012;38.799.999;39.630.001;38.73;39.599.998;0.0214
12/9/2012;39.880.001;40.25;39.790.001;39.919.998;0.008
13/9/2012;39.84;41.580.002;39.59;41.400.002;0.0364
14/9/2012;41.959.999;42.09;41.23;41.57;0.0041
17/9/2012;41.00;41.439.999;40.950.001;41.189.999;-0.0092
18/9/2012;41.049.999;41.330.002;40.66;41.259.998;0.0017
19/9/2012;41.330.002;41.759.998;41.040.001;41.34;0.0019
20/9/2012;40.959.999;41.279.999;40.549.999;41.25;-0.0022
21/9/2012;41.529.999;41.700.001;40.77;40.880.001;-0.009
24/9/2012;40.610.001;41.470.001;40.59;41.23;0.0085
25/9/2012;41.549.999;41.549.999;40.529.999;40.549.999;-0.0166
26/9/2012;40.150.002;40.630.001;39.700.001;40.240.002;-0.0077
27/9/2012;40.400.002;40.990.002;40.209.999;40.68;0.0109
28/9/2012;40.419.998;40.630.001;40.16;40.48;-0.0049
1/10/2012;40.880.001;41.50;40.799.999;40.970.001;0.012
2/10/2012;41.139.999;41.240.002;40.560.001;40.919.998;-0.0012
3/10/2012;40.830.002;41.00;40.419.998;40.860.001;-0.0015
4/10/2012;41.16;41.990.002;40.91;41.82;0.0232
5/10/2012;42.040.001;42.439.999;41.459.999;41.709.999;-0.0026
8/10/2012;41.330.002;41.84;41.110.001;41.66;-0.0012
9/10/2012;41.77;41.950.001;41.299.999;41.380.001;-0.0067
10/10/2012;41.549.999;42.00;41.330.002;41.77;0.0094
11/10/2012;42.369.999;42.639.999;41.849.998;42.099.998;0.0079
12/10/2012;41.599.998;42.43;41.150.002;41.619.999;-0.0115
15/10/2012;41.91;42.41;41.73;42.380.001;0.0181
16/10/2012;42.790.001;43.110.001;42.27;42.830.002;0.0106
17/10/2012;42.93;43.540.001;42.77;43.32;0.0114
18/10/2012;43.09;43.349.998;42.75;43.009.998;-0.0072
19/10/2012;42.799.999;42.82;42.060.001;42.32;-0.0162
22/10/2012;42.25;42.52;41.50;42.09;-0.0054
23/10/2012;41.470.001;41.740.002;41.049.999;41.330.002;-0.0182
24/10/2012;41.68;41.880.001;41.34;41.709.999;0.0092
25/10/2012;42.240.002;42.279.999;41.400.002;41.669.998;-0.001
26/10/2012;41.419.998;41.66;40.869.999;41.16;-0.0123
31/10/2012;41.450.001;41.790.001;41.150.002;41.68;0.0126
1/11/2012;41.700.001;42.900.002;41.580.002;42.84;0.0275
2/11/2012;43.040.001;43.07;42.330.002;42.419.998;-0.0099
5/11/2012;42.330.002;42.360.001;41.860.001;42.27;-0.0035
6/11/2012;42.57;43.049.999;42.41;42.880.001;0.0143
7/11/2012;42.009.998;42.009.998;40.310.001;40.48;-0.0576
8/11/2012;41.279.999;41.50;40.400.002;40.400.002;-0.002
9/11/2012;40.310.001;41.23;39.860.001;40.619.999;0.0054
12/11/2012;40.849.998;40.91;40.299.999;40.580.002;-0.001
13/11/2012;40.18;40.52;40.00;40.040.001;-0.0134
14/11/2012;40.209.999;40.369.999;39.130.001;39.290.001;-0.0189
15/11/2012;39.060.001;39.720.001;38.970.001;39.389.999;0.0025
16/11/2012;39.43;39.669.998;38.830.002;39.529.999;0.0035
19/11/2012;40.09;40.700.001;40.09;40.59;0.0265
20/11/2012;40.330.002;41.18;40.25;40.700.001;0.0027
21/11/2012;40.939.999;40.98;40.349.998;40.73;0.0007
23/11/2012;41.099.998;41.220.001;40.970.001;41.09;0.0088
26/11/2012;40.790.001;40.880.001;40.09;40.880.001;-0.0051
27/11/2012;40.869.999;41.200.001;40.639.999;40.75;-0.0032
28/11/2012;40.490.002;40.880.001;39.880.001;40.830.002;0.002
29/11/2012;41.150.002;41.349.998;40.91;41.220.001;0.0095
30/11/2012;40.990.002;41.34;40.849.998;41.080.002;-0.0034
3/12/2012;41.27;41.369.999;40.75;40.810.001;-0.0066
4/12/2012;40.779.999;40.919.998;40.200.001;40.57;-0.0059
5/12/2012;40.689.999;41.490.002;40.50;41.200.001;0.0154
6/12/2012;41.25;41.549.999;41.110.001;41.470.001;0.0065
7/12/2012;41.84;42.57;41.73;42.560.001;0.0259
10/12/2012;42.540.001;42.669.998;42.009.998;42.310.001;-0.0059
11/12/2012;42.599.998;43.09;42.419.998;42.639.999;0.0078
12/12/2012;43.00;43.380.001;42.700.001;42.77;0.003
13/12/2012;42.650.002;42.919.998;42.50;42.779.999;0.0002
14/12/2012;42.77;43.110.001;42.709.999;42.810.001;0.0007
17/12/2012;43.00;43.509.998;42.810.001;43.48;0.0155
18/12/2012;43.830.002;43.939.999;43.310.001;43.869.999;0.0089
19/12/2012;43.990.002;44.389.999;43.419.998;43.529.999;-0.0078
20/12/2012;43.689.999;44.540.001;43.41;44.529.999;0.0227
21/12/2012;43.82;44.200.001;43.34;44.00;-0.012
24/12/2012;43.720.001;44.02;43.709.999;43.919.998;-0.0018
26/12/2012;43.950.001;44.18;43.720.001;43.959.999;0.0009
27/12/2012;43.959.999;44.02;42.900.002;43.630.001;-0.0075
28/12/2012;43.099.998;43.689.999;43.09;43.240.002;-0.009
31/12/2012;43.099.998;44.00;43.049.999;43.970.001;0.0167
2/1/2013;44.98;45.00;44.220.001;44.66;0.0156
3/1/2013;44.740.002;44.75;44.200.001;44.57;-0.002
4/1/2013;44.450.001;45.43;44.439.999;45.360.001;0.0176
7/1/2013;45.09;45.490.002;45.02;45.41;0.0011
8/1/2013;45.400.002;45.50;44.959.999;45.50;0.002
9/1/2013;45.560.001;46.200.001;45.139.999;45.470.001;-0.0007
10/1/2013;45.889.999;46.16;45.529.999;46.150.002;0.0148
11/1/2013;45.970.001;46.150.002;45.470.001;46.139.999;-0.0002
14/1/2013;45.889.999;46.18;45.48;45.880.001;-0.0057
15/1/2013;45.490.002;46.470.001;45.349.998;46.349.998;0.0102
16/1/2013;45.91;46.830.002;45.57;46.82;0.0101
17/1/2013;46.400.002;46.869.999;46.290.001;46.439.999;-0.0081
18/1/2013;46.380.001;46.599.998;46.18;46.459.999;0.0004
22/1/2013;46.25;46.549.999;46.130.001;46.540.001;0.0017
23/1/2013;46.23;46.439.999;45.919.998;46.23;-0.0067
24/1/2013;46.240.002;46.799.999;46.080.002;46.369.999;0.003
25/1/2013;46.740.002;47.16;46.610.001;47.16;0.0169
28/1/2013;46.84;47.00;46.48;46.639.999;-0.0111
29/1/2013;46.279.999;47.16;46.25;47.119.999;0.0102
30/1/2013;47.040.001;47.349.998;46.959.999;47.130.001;0.0002
31/1/2013;47.009.998;47.220.001;46.880.001;47.049.999;-0.0017
1/2/2013;47.400.002;48.00;47.209.999;47.849.998;0.0169
4/2/2013;47.540.001;47.810.001;47.380.001;47.68;-0.0036
5/2/2013;47.939.999;48.799.999;47.93;48.790.001;0.023
6/2/2013;48.419.998;48.830.002;48.32;48.610.001;-0.0037
7/2/2013;48.650.002;48.75;47.900.002;48.23;-0.0078
8/2/2013;48.330.002;48.689.999;48.259.998;48.630.001;0.0083
11/2/2013;48.509.998;48.900.002;48.380.001;48.66;0.0006
12/2/2013;48.799.999;49.310.001;48.599.998;49.139.999;0.0098
13/2/2013;49.349.998;49.450.001;48.50;48.68;-0.0094
14/2/2013;48.400.002;49.290.001;48.369.999;49.220.001;0.011
15/2/2013;49.349.998;49.459.999;48.57;48.880.001;-0.0069
19/2/2013;49.119.999;49.68;49.119.999;49.450.001;0.0116
20/2/2013;49.349.998;49.540.001;48.360.001;48.610.001;-0.0171
21/2/2013;48.41;48.450.001;47.830.002;48.25;-0.0074
22/2/2013;48.630.001;48.91;48.41;48.91;0.0136
25/2/2013;49.099.998;49.200.001;47.650.002;47.700.001;-0.0251
26/2/2013;48.220.001;48.259.998;46.849.998;47.599.998;-0.0021
27/2/2013;47.849.998;49.400.002;47.759.998;49.279.999;0.0347
28/2/2013;49.16;49.549.999;48.75;48.919.998;-0.0073
1/3/2013;48.599.998;49.419.998;48.369.999;48.91;-0.0002
4/3/2013;48.73;49.139.999;48.330.002;49.099.998;0.0039
5/3/2013;49.490.002;50.110.001;49.310.001;49.490.002;0.0079
6/3/2013;49.880.001;50.189.999;49.619.999;50.029.999;0.0109
7/3/2013;50.049.999;50.860.001;50.009.998;50.630.001;0.0119
8/3/2013;50.59;50.849.998;49.610.001;50.200.001;-0.0085
11/3/2013;50.23;50.77;49.91;50.48;0.0056
12/3/2013;50.349.998;50.669.998;50.049.999;50.279.999;-0.004
13/3/2013;50.290.001;50.43;50.110.001;50.16;-0.0024
14/3/2013;50.25;51.00;50.189.999;51.00;0.0166
15/3/2013;49.970.001;50.290.001;49.150.002;50.02;-0.0194
18/3/2013;49.189.999;49.66;48.950.001;49.509.998;-0.0102
19/3/2013;49.650.002;49.990.002;48.68;49.200.001;-0.0063
20/3/2013;49.57;49.639.999;49.040.001;49.119.999;-0.0016
21/3/2013;48.790.001;49.23;48.349.998;48.349.998;-0.0158
22/3/2013;48.630.001;49.00;48.34;48.779.999;0.0089
25/3/2013;49.040.001;49.32;48.16;48.52;-0.0053
26/3/2013;48.740.002;48.970.001;48.32;48.639.999;0.0025
27/3/2013;48.200.001;48.310.001;47.560.001;47.77;-0.018
28/3/2013;47.84;47.93;47.279.999;47.459.999;-0.0065
1/4/2013;47.549.999;47.990.002;47.490.002;47.830.002;0.0078
2/4/2013;48.009.998;48.380.001;47.880.001;48.279.999;0.0094
3/4/2013;48.029.999;48.07;46.529.999;46.849.998;-0.0301
4/4/2013;46.959.999;47.540.001;46.900.002;47.490.002;0.0136
5/4/2013;46.790.001;48.040.001;46.75;47.91;0.0088
8/4/2013;47.880.001;48.59;47.59;48.580.002;0.0139
9/4/2013;48.740.002;48.959.999;48.459.999;48.68;0.0021
10/4/2013;48.939.999;49.560.001;48.880.001;49.25;0.0116
11/4/2013;49.209.999;49.599.998;48.830.002;49.310.001;0.0012
12/4/2013;48.900.002;49.580.002;48.450.001;49.009.998;-0.0061
15/4/2013;48.389.999;49.34;47.900.002;47.93;-0.0223
16/4/2013;48.43;48.52;47.59;48.490.002;0.0116
17/4/2013;48.110.001;48.18;46.380.001;46.790.001;-0.0357
18/4/2013;46.799.999;47.330.002;46.049.999;46.639.999;-0.0032
19/4/2013;47.150.002;47.360.001;46.700.001;47.23;0.0126
22/4/2013;47.400.002;47.490.002;46.869.999;47.349.998;0.0025
23/4/2013;47.68;48.240.002;47.389.999;48.169.998;0.0172
24/4/2013;48.32;48.919.998;48.16;48.720.001;0.0114
25/4/2013;49.02;49.630.001;48.889.999;49.00;0.0057
26/4/2013;48.860.001;49.09;48.610.001;48.880.001;-0.0025
29/4/2013;49.080.002;49.099.998;48.650.002;48.919.998;0.0008
30/4/2013;48.959.999;49.25;48.720.001;49.009.998;0.0018
1/5/2013;48.759.998;48.91;47.849.998;48.009.998;-0.0206
2/5/2013;48.25;48.25;47.709.999;48.080.002;0.0015
3/5/2013;48.630.001;48.700.001;46.98;47.57;-0.0107
6/5/2013;47.709.999;48.389.999;47.57;48.18;0.0127
7/5/2013;48.57;49.389.999;48.259.998;49.139.999;0.0197
8/5/2013;49.220.001;49.990.002;49.110.001;49.759.998;0.0125
9/5/2013;49.700.001;49.810.001;48.919.998;49.040.001;-0.0146
10/5/2013;49.049.999;49.23;48.639.999;48.959.999;-0.0016
13/5/2013;48.84;49.700.001;48.610.001;49.669.998;0.0144
14/5/2013;49.77;50.419.998;49.66;50.23;0.0112
15/5/2013;50.200.001;51.43;50.150.002;51.09;0.017
16/5/2013;50.869.999;51.66;50.84;50.970.001;-0.0024
17/5/2013;51.259.998;52.330.002;51.25;52.299.999;0.0258
20/5/2013;52.279.999;52.630.001;51.91;52.290.001;-0.0002
21/5/2013;52.529.999;53.669.998;52.450.001;53.02;0.0139
22/5/2013;53.43;54.959.999;53.290.001;53.630.001;0.0114
23/5/2013;52.82;53.790.001;52.66;53.349.998;-0.0052
24/5/2013;52.900.002;53.66;52.720.001;53.66;0.0058
28/5/2013;54.560.001;54.650.002;54.029.999;54.599.998;0.0174
29/5/2013;54.09;54.959.999;53.91;54.669.998;0.0013
30/5/2013;54.599.998;55.900.002;54.529.999;55.619.999;0.0172
31/5/2013;55.709.999;55.830.002;54.59;54.59;-0.0187
3/6/2013;54.599.998;54.860.001;53.040.001;54.490.002;-0.0018
4/6/2013;54.540.001;55.389.999;53.869.999;54.040.001;-0.0083
5/6/2013;53.779.999;54.27;52.700.001;53.029.999;-0.0189
6/6/2013;52.84;53.52;52.27;53.50;0.0088
7/6/2013;53.77;54.48;53.41;54.27;0.0143
10/6/2013;54.639.999;54.84;54.02;54.360.001;0.0017
11/6/2013;53.459.999;54.049.999;53.110.001;53.490.002;-0.0161
12/6/2013;53.900.002;54.099.998;52.970.001;53.18;-0.0058
13/6/2013;53.00;54.240.002;52.970.001;54.169.998;0.0184
14/6/2013;54.040.001;54.130.001;52.91;53.130.001;-0.0194
17/6/2013;53.700.001;54.259.998;53.540.001;53.849.998;0.0135
18/6/2013;54.029.999;54.27;53.720.001;54.110.001;0.0048
19/6/2013;53.990.002;54.509.998;53.52;53.549.999;-0.0104
20/6/2013;53.080.002;53.18;52.27;52.48;-0.0202
21/6/2013;52.959.999;52.98;51.689.999;51.959.999;-0.01
24/6/2013;50.880.001;51.450.001;50.110.001;50.919.998;-0.0202
25/6/2013;51.509.998;52.560.001;51.509.998;52.080.002;0.0225
26/6/2013;52.650.002;52.799.999;51.880.001;52.50;0.008
27/6/2013;53.029.999;53.490.002;52.880.001;53.150.002;0.0123
28/6/2013;53.119.999;53.130.001;52.580.002;52.790.001;-0.0068
1/7/2013;53.220.001;53.630.001;52.43;52.490.002;-0.0057
2/7/2013;52.57;53.529.999;52.119.999;52.799.999;0.0059
3/7/2013;52.310.001;52.810.001;52.209.999;52.77;-0.0006
5/7/2013;53.360.001;54.00;53.110.001;53.990.002;0.0229
8/7/2013;54.540.001;54.91;54.049.999;54.700.001;0.0131
9/7/2013;55.07;55.169.998;54.189.999;54.889.999;0.0035
10/7/2013;54.77;55.150.002;54.439.999;54.830.002;-0.0011
11/7/2013;55.84;55.869.999;54.549.999;55.139.999;0.0056
12/7/2013;55.509.998;55.849.998;54.75;54.970.001;-0.0031
15/7/2013;55.490.002;55.50;54.599.998;54.889.999;-0.0015
16/7/2013;54.900.002;55.41;54.779.999;55.009.998;0.0022
17/7/2013;55.049.999;55.580.002;54.84;55.27;0.0047
18/7/2013;55.509.998;56.529.999;55.490.002;56.369.999;0.0197
19/7/2013;56.509.998;56.560.001;55.91;56.16;-0.0037
22/7/2013;56.169.998;56.669.998;55.950.001;56.560.001;0.0071
23/7/2013;56.720.001;56.889.999;56.470.001;56.669.998;0.0019
24/7/2013;56.919.998;56.93;56.380.001;56.630.001;-0.0007
25/7/2013;56.450.001;56.50;55.889.999;56.50;-0.0023
26/7/2013;56.060.001;56.220.001;55.599.998;56.049.999;-0.008
29/7/2013;55.98;56.00;55.380.001;55.689.999;-0.0064
30/7/2013;55.869.999;55.990.002;55.080.002;55.330.002;-0.0065
31/7/2013;55.580.002;56.27;55.509.998;55.73;0.0072
1/8/2013;56.360.001;56.779.999;56.200.001;56.540.001;0.0144
2/8/2013;56.27;56.52;56.009.998;56.490.002;-0.0009
5/8/2013;56.330.002;56.580.002;56.009.998;56.099.998;-0.0069
6/8/2013;55.990.002;56.099.998;55.310.001;55.490.002;-0.0109
7/8/2013;55.060.001;55.470.001;54.779.999;55.299.999;-0.0034
8/8/2013;55.419.998;55.73;54.130.001;54.830.002;-0.0085
9/8/2013;54.689.999;55.150.002;54.330.002;54.52;-0.0057
12/8/2013;54.040.001;54.32;53.68;54.09;-0.0079
13/8/2013;54.220.001;54.700.001;53.599.998;54.290.001;0.0037
14/8/2013;54.330.002;54.849.998;54.00;54.150.002;-0.0026
15/8/2013;53.52;53.68;52.889.999;53.290.001;-0.016
16/8/2013;53.07;53.779.999;53.07;53.290.001;0
19/8/2013;52.889.999;52.950.001;51.799.999;51.830.002;-0.0278
20/8/2013;51.779.999;52.360.001;50.66;52.119.999;0.0056
21/8/2013;51.919.998;52.220.001;51.279.999;51.630.001;-0.0094
22/8/2013;52.00;52.66;51.93;52.209.999;0.0112
23/8/2013;52.27;52.419.998;51.900.002;52.32;0.0021
26/8/2013;52.16;52.540.001;51.790.001;51.799.999;-0.01
27/8/2013;51.02;51.549.999;50.549.999;50.599.998;-0.0234
28/8/2013;50.330.002;51.049.999;50.130.001;50.580.002;-0.0004
29/8/2013;50.59;51.18;50.450.001;50.700.001;0.0024
30/8/2013;50.82;50.830.002;50.290.001;50.529.999;-0.0034
3/9/2013;51.25;51.720.001;50.830.002;51.130.001;0.0118
4/9/2013;51.16;52.099.998;50.93;51.869.999;0.0144
5/9/2013;52.029.999;52.52;51.91;52.110.001;0.0046
6/9/2013;52.41;52.709.999;51.279.999;52.560.001;0.0086
9/9/2013;52.779.999;53.189.999;52.52;52.860.001;0.0057
10/9/2013;53.830.002;53.93;53.299.999;53.669.998;0.0152
11/9/2013;53.369.999;53.759.998;53.060.001;53.259.998;-0.0077
12/9/2013;53.43;53.709.999;52.080.002;52.240.002;-0.0193
13/9/2013;52.290.001;52.799.999;52.23;52.59;0.0067
16/9/2013;53.450.001;53.490.002;52.98;53.139.999;0.0104
17/9/2013;53.189.999;53.32;52.880.001;53.09;-0.0009
18/9/2013;52.689.999;53.869.999;52.560.001;53.41;0.006
19/9/2013;53.630.001;53.75;52.529.999;52.75;-0.0124
20/9/2013;52.950.001;53.470.001;52.799.999;52.799.999;0.0009
23/9/2013;52.080.002;52.380.001;51.389.999;51.459.999;-0.0257
24/9/2013;51.009.998;51.27;50.299.999;50.32;-0.0224
25/9/2013;50.220.001;51.900.002;50.060.001;51.700.001;0.0271
26/9/2013;51.93;52.560.001;51.540.001;51.889.999;0.0037
27/9/2013;51.50;52.400.002;51.389.999;52.240.002;0.0067
30/9/2013;51.73;52.09;51.439.999;51.689.999;-0.0106
1/10/2013;51.639.999;52.09;51.450.001;51.959.999;0.0052
2/10/2013;51.32;52.450.001;51.290.001;52.09;0.0025
3/10/2013;52.00;52.200.001;51.50;51.939.999;-0.0029
4/10/2013;52.07;52.68;52.009.998;52.669.998;0.014
